Submission_ID;Submission_date;Virus_Acronym;Sequence_ID;Isolate;Bioproject;Country
3006222;22/02/2026;CaaTLV;CaaTLV_SRR7275399;SRR7275399;PRJNA474994;China
3006225;23/02/2026;GEaTBV1;GEaTBV1_SRR13334631;SRR13334631;PRJNA688757;China
3006226;24/02/2026;CaLaV;CaLaV_SRR16768008;SRR16768008;PRJNA766248;China
3006228;25/02/2026;GraHV1;GraHV1_SRR8175633;SRR8175633;PRJNA504609;Switzerland
3006228;26/02/2026;CyaAEDV1;CyaAEDV1_SRR15194902;SRR15194902;PRJNA743748;China
3006228;27/02/2026;CyaAEDV1;CyaAEDV1_SRR15194902;SRR15194902;PRJNA743748;China
3006228;28/02/2026;CaAEDV1;CaAEDV1_SRR12619952;SRR12619952;PRJNA661963;Australia
3006228;1/03/2026;VaCV1;VaCV1_SRR4010892_RNA1;SRR4010892;PRJNA320814;Taiwan
3006228;2/03/2026;CalaDPV1;CalaDPV1_SRR12619951;SRR12619951;PRJNA661963;Australia
3006228;3/03/2026;CalaDPV1;CalaDPV1_SRR12619953;SRR12619953;PRJNA661963;Australia
3006228;4/03/2026;CalaDPV1;CalaDPV1_SRR12619954;SRR12619954;PRJNA661963;Australia
3006228;5/03/2026;CalaDPV2;CalaDPV2_SRR12619951;SRR12619951;PRJNA661963;Australia
3006228;6/03/2026;CrypDPV1;CrypDPV1_SRR12619943;SRR12619943;PRJNA661963;Australia
3006228;7/03/2026;DacthCV1;DacthCV1_SRR3330396_RNA1;SRR3330396;PRJNA317244;Austria
3006228;8/03/2026;DacthDPV2;DacthDPV2_SRR17665596_RNA1;SRR17665596;PRJNA317244;Hungary
3006228;9/03/2026;DacthDPV7;DacthDPV7_SRR17665596;SRR17665596;PRJNA317244;Hungary
3006228;10/03/2026;DendrDPV2;DendrDPV2_SRR16643616;SRR16643616;PRJNA776418;China
3006228;11/03/2026;DendrDPV4;DendrDPV4_SRR18030164_RNA1;SRR18030164;PRJNA807080;nd
3006228;12/03/2026;GymnDPV3;GymnDPV3_SRR22671435;SRR22671435;PRJNA910785;China
